BootID,location,scale
0,9.375,0.491
1,9.564,0.582
2,9.997,0.624
3,9.823,0.575
4,7.897,0.173
5,8.791,0.398
6,9.176,0.406
7,8.806,0.355
8,10.134,0.609
9,10.901,0.773
10,9.793,0.513
11,7.708,0.146
12,9.587,0.521
13,10.064,0.648
14,11.946,0.878
15,9.246,0.463
16,10.299,0.611
17,9.541,0.485
18,9.945,0.497
19,10.546,0.651
20,8.775,0.371
21,7.789,0.173
22,9.76,0.645
23,9.535,0.521
24,9.04,0.394
25,9.838,0.559
26,10.093,0.654
27,8.94,0.515
28,9.518,0.603
29,9.035,0.456
30,8.76,0.356
31,9.012,0.391
32,8.719,0.331
33,9.773,0.587
34,9.493,0.529
35,9.206,0.472
36,9.34,0.451
37,8.764,0.366
38,9.944,0.55
39,9.155,0.49
40,9.502,0.535
41,9.777,0.611
42,7.955,0.19
43,8.482,0.312
44,10.374,0.632
45,9.977,0.638
46,9.925,0.664
47,9.684,0.529
48,8.786,0.375
49,9.664,0.624
50,9.368,0.463
51,9.549,0.475
52,9.427,0.463
53,10.204,0.561
54,9.106,0.474
55,8.72,0.331
56,9.31,0.436
57,11.135,0.862
58,9.46,0.515
59,9.577,0.558
60,8.154,0.255
61,10.966,0.749
62,8.374,0.281
63,9.591,0.52
64,10.422,0.585
65,10.785,0.734
66,11.298,0.887
67,8.503,0.301
68,9.637,0.55
69,10.828,0.626
70,10.415,0.618
71,10.793,0.809
72,8.638,0.351
73,8.953,0.428
74,11.134,0.832
75,8.83,0.355
76,10.509,0.768
77,8.838,0.357
78,8.515,0.322
79,8.926,0.416
80,8.942,0.459
81,9.193,0.435
82,8.766,0.375
83,10.826,0.771
84,8.889,0.379
85,10.981,0.729
86,9.921,0.659
87,10.556,0.654
88,9.894,0.576
89,8.896,0.419
90,9.981,0.576
91,8.179,0.268
92,9.735,0.48
93,9.448,0.507
94,8.83,0.394
95,9.287,0.448
96,9.557,0.576
97,8.666,0.282
98,9.165,0.54
99,9.54,0.58
100,10.983,0.706
101,10.362,0.636
102,10.334,0.545
103,10.361,0.753
104,10.362,0.746
105,9.709,0.583
106,11.148,0.742
107,9.309,0.519
108,9.014,0.389
109,11.168,0.793
110,9.188,0.482
111,9.436,0.445
112,8.629,0.335
113,11.081,0.781
114,9.06,0.412
115,9.576,0.541
116,8.509,0.353
117,10.445,0.624
118,9.794,0.518
119,8.195,0.294
120,8.639,0.323
121,8.233,0.251
122,10.661,0.769
123,9.089,0.443
124,10.643,0.788
125,8.659,0.339
126,9.278,0.412
127,10.162,0.72
128,8.591,0.336
129,9.108,0.473
130,9.144,0.423
131,9.496,0.542
132,9.769,0.649
133,9.56,0.508
134,9.632,0.605
135,9.686,0.607
136,9.457,0.522
137,11.055,0.767
138,8.705,0.355
139,10.091,0.615
140,10.646,0.723
141,8.51,0.317
142,10.122,0.7
143,10.936,0.728
144,8.843,0.39
145,10.143,0.627
146,9.45,0.55
147,10.78,0.697
148,9.099,0.442
149,9.765,0.604
150,8.783,0.383
151,8.419,0.249
152,8.949,0.44
153,7.975,0.204
154,9.88,0.569
155,10.548,0.72
156,9.151,0.471
157,9.779,0.62
158,9.817,0.581
159,9.874,0.597
160,10.056,0.664
161,9.597,0.583
162,9.541,0.51
163,10.28,0.563
164,9.878,0.594
165,9.791,0.562
166,9.119,0.477
167,8.681,0.321
168,10.867,0.668
169,8.407,0.305
170,9.301,0.444
171,10.417,0.679
172,9.187,0.435
173,8.723,0.363
174,9.545,0.529
175,9.899,0.584
176,8.673,0.391
177,10.277,0.604
178,9.201,0.487
179,10.107,0.61
180,11.486,0.713
181,8.719,0.377
182,8.788,0.374
183,9.42,0.49
184,10.137,0.619
185,9.212,0.491
186,9.506,0.548
187,8.782,0.345
188,8.502,0.301
189,8.825,0.376
190,9.27,0.49
191,9.494,0.471
192,9.159,0.513
193,7.966,0.199
194,8.208,0.256
195,8.437,0.279
196,10.695,0.709
197,9.132,0.403
198,8.285,0.257
199,10.556,0.796
200,9.276,0.576
201,9.328,0.496
202,10.715,0.737
203,8.268,0.266
204,8.893,0.323
205,10.174,0.699
206,8.958,0.424
207,12.111,0.917
208,10.094,0.682
209,10.302,0.628
210,9.299,0.521
211,8.306,0.266
212,10.105,0.615
213,9.405,0.569
214,9.548,0.575
215,9.093,0.411
216,10.162,0.722
217,9.477,0.447
218,8.578,0.333
219,9.846,0.553
220,9.757,0.664
221,9.415,0.412
222,8.478,0.357
223,8.998,0.484
224,10.607,0.805
225,10.57,0.67
226,9.58,0.516
227,9.222,0.487
228,8.452,0.325
229,9.449,0.484
230,8.868,0.379
231,8.566,0.303
232,9.425,0.441
233,10.061,0.641
234,10.449,0.711
235,9.464,0.431
236,8.669,0.329
237,8.283,0.271
238,8.257,0.28
239,9.852,0.608
240,8.253,0.282
241,10.043,0.531
242,9.444,0.452
243,8.064,0.228
244,9.294,0.381
245,8.766,0.344
246,9.202,0.515
247,10.054,0.579
248,9.016,0.382
249,9.4,0.435
250,10.184,0.67
251,10.33,0.599
252,8.728,0.447
253,11.791,0.966
254,11.205,0.821
255,9.68,0.544
256,9.366,0.477
257,10.755,0.769
258,9.831,0.579
259,10.554,0.762
260,9.611,0.589
261,8.515,0.307
262,10.513,0.721
263,8.416,0.282
264,9.409,0.511
265,9.722,0.532
266,10.82,0.732
267,9.94,0.599
268,9.21,0.433
269,9.628,0.486
270,8.329,0.295
271,10.246,0.682
272,8.846,0.344
273,8.582,0.326
274,9.051,0.38
275,9.475,0.592
276,8.967,0.438
277,9.696,0.597
278,9.759,0.498
279,8.707,0.335
280,10.811,0.691
281,9.839,0.537
282,9.047,0.359
283,9.172,0.461
284,8.244,0.305
285,8.454,0.324
286,10.947,0.808
287,8.98,0.425
288,10.331,0.714
289,10.152,0.603
290,8.544,0.337
291,9.067,0.459
292,9.065,0.444
293,9.175,0.444
294,9.874,0.637
