Location,Scale
2.4527770168,0.299531279
2.4054689873,0.3221493654
2.4046632497,0.2680877566
2.503124965,0.3505187511
2.5168979823,0.29040988
2.4583767295,0.3357513769
2.5613716346,0.2611993534
2.4879903598,0.2655035908
2.5436141806,0.2810378319
2.5338973562,0.3426559754
2.4357643998,0.2264909276
2.4630309878,0.2703025537
2.4788572735,0.313225013
2.4819870549,0.3214864925
2.3980654018,0.4179234301
2.4961819652,0.2945858381
2.5509582204,0.2254593935
2.5439809175,0.3070718897
2.502282693,0.294143109
2.6057795076,0.3061066948
2.4968558482,0.3147324109
2.4569907567,0.3750905211
2.4061290727,0.2810590792
2.4244720596,0.4371870781
2.4754964614,0.2890513418
2.5323109035,0.3230306245
2.3933639722,0.3321147138
2.4497939659,0.3240452221
2.4377522343,0.3457790898
2.4926300653,0.2613281614
2.4702664745,0.259982498
2.4263542864,0.2779098134
2.5326567222,0.2384136996
2.3856783208,0.2924883907
2.5044875592,0.2516139841
2.4924161269,0.3372258677
2.4626186467,0.3316798248
2.5107821576,0.2714367021
2.5044548522,0.2167350698
2.5049394772,0.1976522641
2.4687741183,0.2744326599
2.4560693203,0.2494192117
2.5116637557,0.2375071929
2.6106240727,0.3150275203
2.4839859253,0.2516596686
2.4989398777,0.3559051984
2.5427603751,0.2986655186
2.4652470261,0.2397202625
2.4934778947,0.2959055669
2.5606251054,0.3747452175
2.4667738922,0.2846399321
2.4438045259,0.2409463941
2.5195865875,0.2816147021
2.4966474455,0.2579882762
2.4092790744,0.3360531011
2.5054598086,0.2371680962
2.4668175645,0.2067646176
2.4862323804,0.3234142408
2.5363327208,0.2935875089
2.4714955122,0.3166463043
2.4823377724,0.3314067993
2.476670137,0.4390503869
2.5094554787,0.354232676
2.4398908506,0.3239343642
2.4359154794,0.2327181184
2.5151814575,0.3868014796
2.4427578246,0.2701681509
2.403475031,0.3169516906
2.4029023964,0.407726312
2.4800131051,0.3316562703
2.4630155733,0.2516823432
2.5010853713,0.3135844828
2.5248185289,0.3199289631
2.5079278706,0.260630953
2.4134338785,0.3858388597
2.459251696,0.3240722098
2.4370397613,0.3795012551
2.4438084819,0.3202527471
2.4979585877,0.2708221153
2.4675253508,0.3232723884
2.5783399018,0.2564637309
2.3616528242,0.334853044
2.4507540339,0.3152504272
2.4432376737,0.3117314742
2.5152509539,0.3369513329
2.5661754431,0.4129002055
2.3788467426,0.3788344219
2.4942191143,0.4382042234
2.4680999551,0.3844639403
2.5225097281,0.2648547893
2.5003542266,0.3151408704
2.5179986715,0.2726820165
2.5916411908,0.2634290778
2.5843418125,0.261882914
2.4906827441,0.2869299769
2.4471834456,0.3155282004
2.4175425417,0.4590937573
2.4613708159,0.379520307
2.46852591,0.3183006407
2.5333031419,0.239532791
2.5294717637,0.2925373705
2.4611232579,0.2362827921
2.4803615005,0.3363342228
2.5179886128,0.4393436188
2.4579575573,0.3095653677
2.5250702229,0.324495444
2.4273234094,0.3371584161
2.3999902418,0.2903232031
2.3824356947,0.5034109865
2.4370258554,0.421336643
2.5312053875,0.3606095896
2.4771112849,0.2798971365
2.5762868386,0.3024744127
2.4286901183,0.284412965
2.3799411768,0.3323077863
2.4902242911,0.2920529665
2.5064743138,0.240725569
2.513987995,0.2589113298
2.4479481453,0.2849355598
2.4662547643,0.2823416071
2.4941867543,0.3396443115
2.5205349455,0.3399785203
2.4970979571,0.3076769604
2.4968050541,0.2617531706
2.5155303721,0.26952224
2.4036732524,0.3831624642
2.473361938,0.2083490187
2.4564614088,0.2797796504
2.4807776007,0.2908225366
2.552671623,0.3123738986
2.5230106318,0.2126387746
2.5339231645,0.2589400871
2.4811746005,0.1965875825
2.4186014213,0.3581424857
2.3864811895,0.3329408806
2.5139278922,0.2840227306
2.474916119,0.2306745208
2.4618645106,0.2809038341
2.358841324,0.393930155
2.5513845771,0.3120342769
2.498539299,0.273858441
2.5583967242,0.2881050042
2.5388774696,0.3578510524
2.5239550835,0.239299215
2.518703183,0.3742388153
2.5268094437,0.3620475872
2.4691284245,0.3809060567
2.483113667,0.2273724783
2.5039800541,0.2191170856
2.5062435967,0.2931577291
2.472791953,0.2899863044
2.4919763685,0.2491558688
2.5837996625,0.3501500283
2.4944994247,0.3386865454
2.4694961804,0.2552219262
2.4117323526,0.2879516116
2.4403078364,0.2595820959
2.5587485791,0.2579870647
2.450355401,0.2575096202
2.5381339665,0.3468508094
2.4918042513,0.2675802833
2.5180814463,0.2465492661
2.4807221604,0.36439418
2.512210287,0.2877687715
2.5065348279,0.353337291
2.4421619791,0.2924278606
2.5075178409,0.253880044
2.4392506108,0.3317920051
2.495452429,0.2805479943
2.5008148647,0.2766323474
2.5811908434,0.3324941891
2.4490614236,0.2507080029
2.4669021744,0.2887466678
2.441107273,0.2627638319
2.5914385453,0.389554443
2.481643438,0.2168540332
2.4951932915,0.3338176978
2.5573253767,0.3485323518
2.4856445282,0.2034326957
2.4735666038,0.2445704407
2.4505595707,0.2469859078
2.4091725996,0.366579681
2.4756726722,0.2920253307
2.4020910319,0.2872645734
2.3741163236,0.3101807304
2.4395929668,0.3250229445
2.4966506563,0.3229720007
2.5240809511,0.3276046591
2.4048793083,0.3015150992
2.5599586875,0.4117274324
2.4807802924,0.2841052448
2.4887332649,0.27609494
2.4938237033,0.3534174666
2.4763930184,0.3129744151
2.4884033394,0.2934177478
2.4808599062,0.3457711008
2.4986330219,0.3407673355
2.4413868061,0.2649045893
2.4930727433,0.2780021867
2.4925073232,0.2796573532
2.5180795018,0.2334124973
2.5205120374,0.2881908869
2.3812519001,0.3457018823
2.582843523,0.3279206341
2.4999199093,0.2671920971
2.4725698411,0.267347401
2.3894583807,0.3172753357
2.4326817028,0.2934226204
2.5441936964,0.3048317189
2.4480210469,0.2813685719
2.4057585642,0.3649120199
2.4918513817,0.2903573941
2.4417411383,0.2736208928
2.4688996137,0.2772265384
2.4455635941,0.287582151
2.562906483,0.2857476569
2.4808227763,0.394778209
2.5424633856,0.3529085185
2.5024746034,0.5265084056
2.5154759085,0.2374122171
2.4737237182,0.3429230425
2.480982507,0.2685519272
2.5332867231,0.3109911607
2.499616702,0.2189929128
2.4674399541,0.3027415424
2.5338888987,0.3543292884
2.4494505737,0.3370833662
2.4291789165,0.3404725761
2.4668574391,0.3463409316
2.4569767004,0.3306542684
2.4565223638,0.327982269
2.5462974585,0.28847698
2.4755782832,0.2743767404
2.4437336129,0.2944966979
2.3628541429,0.343587175
2.6304743815,0.2786902187
2.4674160908,0.2522047241
2.4742626237,0.2742666426
2.4728279739,0.2819086781
2.5151966036,0.2658026939
2.4889043041,0.2473761066
2.4554501762,0.2385451572
2.5378017251,0.3040015015
2.4831795581,0.3186775555
2.4281966331,0.3208597884
2.3695308555,0.3843042456
2.5636875971,0.299781755
2.3673711944,0.4437409375
2.4315420835,0.3134477602
2.5118916258,0.3413568603
2.4502428423,0.2870394349
2.4360847332,0.3651757518
2.5327267134,0.2592084927
2.4303071215,0.3310535398
2.4895272128,0.2348629804
2.4555900167,0.2929591279
2.4978877677,0.2466979361
2.3772824752,0.3967728341
2.4828636173,0.347513562
2.4461145715,0.3039412942
2.4690980187,0.262447255
2.6164322986,0.3110716506
2.5380405033,0.2589362247
2.4427104868,0.4115384987
2.4445035633,0.319520869
2.5097694256,0.2696619793
2.3410822333,0.3537870476
2.3836322788,0.4139763193
2.4685187843,0.3518844573
2.5130753725,0.2774433426
2.5014244594,0.2590382126
2.4740109239,0.3626680008
2.4705660061,0.2801793235
2.5244299992,0.2331231988
2.5721297992,0.361047133
2.4328217173,0.3295460288
2.5076213349,0.4197458043
2.5414526231,0.2701998726
2.5122450953,0.2387692882
2.4149100968,0.333298013
2.5755598534,0.3242124488
2.5251945815,0.3694144581
2.6499560521,0.2341323078
2.4136421468,0.3415414681
2.4077018575,0.3101814215
2.5104789783,0.2837069591
2.3765602619,0.3601221899
2.3970501456,0.291296221
2.4581904604,0.3188454605
2.4698290555,0.2222663883
2.4403905334,0.3015220747
2.4344049287,0.3222583492
2.4885075823,0.2906885603
2.5014688569,0.2999520594
2.4707207672,0.3071933909
2.4011891461,0.249827553
2.6141594355,0.3102112597
2.4482596244,0.2843587493
2.5264476667,0.290958596
2.4366331368,0.2863725982
2.4406318271,0.2327837222
2.5131553933,0.230028263
2.4690455286,0.3433999059
2.5173478178,0.376172708
2.5337406421,0.2684884328
2.4887276018,0.3610972137
2.537661813,0.2309681135
2.5345039841,0.3526775135
2.4784666736,0.2995777947
2.5239269185,0.222090548
2.5811382573,0.2424989762
2.44627668,0.3240948828
2.4402211949,0.255681432
2.4620186131,0.3101711935
2.4951041082,0.3194934605
2.4107956843,0.30589335
2.5236044088,0.2663771788
2.4901517564,0.3068413874
2.4111852921,0.3472632927
2.4881056525,0.2954620268
2.5654354384,0.2162048792
2.4283669123,0.3042237622
2.4625696716,0.3159840571
2.525192741,0.3865159177
2.5292088076,0.2893407688
2.5189950205,0.2792161874
2.4839971062,0.3842140347
2.4796343026,0.3608482899
2.5096756442,0.3649096466
2.4855296667,0.2851156786
2.4504283259,0.3341588753
2.4631319112,0.2964499345
2.4153206293,0.2678012356
2.4547239475,0.2887583215
2.4405556965,0.3098279198
2.3899145104,0.2462658362
2.4527548264,0.3644152466
2.4514403078,0.2434362161
2.5513506268,0.2536561189
2.4843282722,0.2862586642
2.437304806,0.2638441941
2.5344902504,0.2560448077
