Location,Scale
0.7007882407,0.4392016465
0.830942204,0.6047659298
0.7934820914,0.5691548212
1.0246258737,0.5731627629
0.939003963,0.5886945106
0.88167683,0.4567864061
0.8379360543,0.4604259847
0.9785270362,0.5259930702
0.9676991709,0.5065502947
0.8589187397,0.4931430887
0.938014292,0.609010818
0.9529717317,0.7017087063
0.8172849077,0.4907406729
0.937205596,0.529082382
0.8714758048,0.4840406478
0.8427498997,0.521592475
0.7989661131,0.5175177705
0.8921598124,0.4659084485
0.8700483158,0.6547359683
0.8571194487,0.5527379749
0.789219559,0.54591199
0.8243711716,0.5636132024
0.7334696809,0.5658977597
0.8295184799,0.4839736131
0.8853745611,0.4324034036
1.0566622562,0.4701727701
0.938851046,0.4474700026
1.0646936762,0.4552997833
0.8978194534,0.5382704789
0.8370221179,0.5333028551
0.839055753,0.5633995751
0.8405531307,0.4922957018
0.9244675595,0.5182477339
0.9261642893,0.4633574935
0.8135228291,0.4055824969
0.8897152647,0.4556467529
0.8768858222,0.4832888695
0.8819756558,0.6470977256
0.9781285416,0.6271388833
0.9660135485,0.4632783901
0.9062224176,0.7075592209
0.819764452,0.5126488829
0.8843102784,0.425055619
0.9604746532,0.5230039362
0.8875344265,0.5657661481
0.9353186168,0.5988632057
0.9049448769,0.4783149777
0.8892920412,0.4915382424
0.8398850883,0.4736940644
0.7783122831,0.4615181893
1.0163629676,0.465911812
0.7999265906,0.4672404052
0.943412904,0.4995495011
0.9169120435,0.4775483344
0.747310128,0.4226046615
0.9364265254,0.5420248065
0.873232923,0.4095753919
0.6642798128,0.5189283125
0.8023243971,0.4868680206
0.825141104,0.5655532335
0.8418380089,0.4153274145
0.8923042605,0.608497307
0.910144628,0.6712930849
0.8558337491,0.505776323
0.8080490832,0.4981925385
0.9685566871,0.4369788097
0.9530386061,0.5434174505
0.8809324702,0.5112634259
0.8827786803,0.5390688761
0.8919581013,0.4414668992
0.8371441232,0.4410727331
0.9448995215,0.5294077859
0.9266829344,0.5993852804
0.9968556034,0.5622877118
0.7908729632,0.5565687675
0.8379365962,0.4824334854
0.8844525242,0.4969850473
0.8240175825,0.5255475439
0.8368739334,0.6135657522
0.9634238981,0.4625411548
0.8948707865,0.5382669127
0.8204686627,0.5535847929
0.9029165679,0.4990867913
0.9785523502,0.5603893676
0.8295845235,0.5741348401
0.7600876829,0.56453004
0.9742510573,0.4632890134
0.9098466466,0.4352664094
0.9107546,0.4166420875
0.9009442098,0.4630086421
0.9659516641,0.5444544574
0.9374431268,0.5247893704
1.2162640668,0.5408513472
0.8647080994,0.5858689574
0.8134980632,0.5600040645
0.7072252346,0.489508173
0.9456711202,0.5557560139
0.8222096517,0.5601074085
0.9939950249,0.5522833854
1.0724954931,0.5124330821
0.7809982876,0.4723860195
0.9399244565,0.4435447506
1.0603641079,0.6113081305
0.8500391678,0.3995321515
0.8313486335,0.4842766368
0.6872867936,0.5004335922
0.8124125731,0.5094034091
1.0047417582,0.4781965511
0.7691819943,0.4501074429
0.9692700348,0.4713558371
0.8672591512,0.5730505273
0.9037873281,0.4338219067
0.86499337,0.6276531108
0.8911139028,0.601487798
0.8148393397,0.4822991389
0.8189156881,0.4679570518
0.7793079176,0.4571714604
0.8864981814,0.5220848008
0.6803740913,0.4869327735
1.0206539851,0.4334292752
0.87497751,0.4924271515
0.9389779881,0.4504109146
0.9196581167,0.5070378408
0.8937057564,0.4637126413
0.9280615434,0.4465164561
0.9733910968,0.4900811127
0.8271220152,0.4348578709
0.8994198674,0.5083600207
1.0492538374,0.4789698763
0.8264487298,0.4704339447
0.9251624542,0.658650902
0.9470033667,0.5972884589
0.934066843,0.453817802
0.6709596998,0.491269264
0.9407806162,0.4800661798
0.9281075525,0.4866498113
0.8122210266,0.5381227405
0.9029435184,0.5323292255
0.9541954031,0.5089501219
0.934897435,0.4573478093
0.8654863333,0.5623271326
0.9352289625,0.4862494741
0.8225806287,0.5294905935
0.9673650152,0.4815956156
0.8041797438,0.4254775327
0.8315559866,0.5757632854
0.9025223901,0.5378274043
0.9721458288,0.6764177599
1.0005014349,0.4757360567
0.8734940201,0.481419834
0.9246646051,0.5048797909
0.9732961707,0.5899224935
0.8721226604,0.6539332017
0.9347304457,0.4356823096
0.828867783,0.4766532413
0.7441662216,0.4600249689
0.7808501979,0.5526873604
1.0710959261,0.4754079468
0.903040586,0.5606326302
0.9120319503,0.5432202524
0.9242573071,0.5124179133
0.7253615947,0.563570734
0.9178206565,0.4757072716
0.9575497661,0.4914188619
0.9106958972,0.4592694365
0.8775651723,0.4566292327
0.8375009785,0.5007003441
0.9353883152,0.4632219085
0.9107769737,0.5135023631
0.8869420891,0.5549878488
0.9615242279,0.5186470119
0.9587981067,0.5158954709
0.7851589448,0.4837418423
1.033289629,0.5963942489
0.8643270383,0.5593555363
1.0182486431,0.488685377
0.7406360366,0.5440925212
0.8150823323,0.5720644115
0.8956576207,0.5067809019
0.9040670923,0.4946293797
0.8468052541,0.6625980328
0.8812435181,0.586768128
0.8977835051,0.426314903
0.9054433945,0.5401735635
0.8953755087,0.5868340136
0.9111993296,0.5311350075
0.8813154146,0.474429493
0.881594776,0.61034624
0.9452456306,0.3957286483
0.8003860152,0.5262085369
0.9013583233,0.5778218668
0.9158156638,0.5349582739
0.8806582336,0.4948389978
0.7754314839,0.4907404769
0.92775314,0.4768017814
1.0601507765,0.5697560343
0.9377994516,0.4915800022
0.9469253725,0.4772340622
0.9822434888,0.610648875
0.7974152341,0.4796659917
1.0658337136,0.5058814226
0.8015028298,0.4816629649
0.8883999978,0.5368656877
1.0054081195,0.4493105441
0.9623363963,0.4471196008
0.9747969204,0.4291394745
0.8541680065,0.5642442514
0.8283311095,0.59001416
0.7736752235,0.5424910249
0.724282963,0.526772558
0.8457205795,0.5049052123
0.8127532029,0.5088671289
0.905955371,0.6194033156
0.7727489277,0.5576505088
0.763688594,0.5294731518
0.7853795838,0.4280166197
0.7904952859,0.5794003417
0.9103991931,0.5429873253
0.8990656319,0.5391275892
0.759590485,0.4530337533
0.8986561081,0.4511983426
0.6992383911,0.5616483574
0.9123545887,0.4918811585
1.0071444927,0.4848930448
0.7810567743,0.4691416877
0.863308174,0.4477010839
0.8101178285,0.5347629644
0.7943941396,0.578248202
0.8971183505,0.4225658125
0.9292401812,0.447223223
0.9519612298,0.5329334589
0.8844011368,0.4472551578
0.7263599981,0.4144617204
0.8065466985,0.4218471722
0.8541341811,0.5901172963
0.9757834166,0.4912833683
0.9727123565,0.4178722015
1.0661288525,0.5721563435
1.0396440953,0.4455493272
0.9770318783,0.5118502389
0.8188330751,0.6920990554
0.9608347244,0.5171474805
0.9032306996,0.4546544096
0.7892440303,0.4736644285
1.0254782394,0.4901687716
0.8284550347,0.5237290569
0.971389461,0.4217033382
0.8692271199,0.574395148
0.8275823292,0.4772269206
1.0511403367,0.3800639283
0.9708912708,0.5046440846
0.785217243,0.39616302
0.7005421459,0.5389193272
0.9397571062,0.4441608922
0.8238375895,0.5167624723
0.8596688677,0.5881310637
0.7928559697,0.4706527118
1.0067569122,0.5053691719
0.8913540112,0.4783953478
0.8943515029,0.5173054317
1.0285111351,0.4544470932
0.7811382177,0.4930909811
0.8486322506,0.6441637757
0.7998838186,0.5021890177
0.9938459755,0.4680954944
0.8355868208,0.5052051259
0.8233365872,0.4840511834
0.8746061155,0.5273236118
0.8901406678,0.5508871361
0.8880682995,0.5054449545
0.7334172951,0.4646094096
0.9471890491,0.582715011
0.8342342454,0.4673655222
0.7857917653,0.5529259973
0.8528926159,0.5169673327
0.8992068233,0.5302662641
1.1087991504,0.5515375113
0.8456604621,0.4769779883
0.9711473242,0.6917002919
0.8341092425,0.5881994824
0.8955256859,0.6670080386
0.857891012,0.5331768119
0.7457377853,0.5386269916
0.9953245901,0.4784913035
0.8904604872,0.5027350741
1.0430186813,0.4653342347
0.9123796504,0.5327782263
0.7401499071,0.4883195652
0.8683836704,0.5653201498
0.8318344759,0.4617020177
0.914987196,0.5031570406
0.7780616557,0.5661748512
0.947579959,0.6156531319
0.9354158384,0.4708926165
0.838667064,0.5517890894
0.8551689214,0.4756467457
0.9335297408,0.443325441
0.8306538374,0.398005792
0.9600166437,0.5646178033
0.9554182291,0.4712593414
1.0041705278,0.5598559169
0.8949444139,0.4431600043
0.7637489459,0.5235286112
0.9490761486,0.4101856372
0.8296364788,0.4875171602
0.7604974929,0.4331232958
0.9025098686,0.393647124
0.8979065524,0.5891375668
1.0252131081,0.5144697502
0.9231320892,0.4370461418
0.9272704777,0.4568785658
0.8424038512,0.6942215685
0.7767044661,0.4665666798
0.7989246503,0.5646499652
0.9805441472,0.423334348
0.880711557,0.6509794391
0.8190727804,0.5578561646
0.8816699781,0.4722093676
0.9435297352,0.4650578052
0.8293903283,0.5124841338
1.1334441194,0.4971934184
0.948718114,0.4626376895
0.8657621484,0.5686303198
0.9357253025,0.5374773645
0.8646325306,0.5061265669
0.7915176802,0.4222863124
0.9185427854,0.6665113604
1.0644497965,0.5379997254
1.0094346589,0.5054736219
0.9218128723,0.4731558871
1.0361939821,0.4915817828
0.9225460921,0.5048520372
0.9009567946,0.5022024766
0.7715760992,0.5222417424
0.9719720041,0.4786385771
0.8982450142,0.4946116619
0.8986142736,0.6116025651
0.7796264866,0.4953259625
0.8410715382,0.3649407399
1.0965049975,0.5633165446
1.0510722278,0.5800858541
0.8213868797,0.5087569431
0.8296616207,0.4942844183
0.8811327557,0.4356997609
0.7873203982,0.5047908043
0.8233326637,0.5075745974
0.8936446284,0.5388011675
0.9588521446,0.4710375529
0.9678139325,0.4614753969
1.0348118085,0.6105309005
0.7749391083,0.4461448202
0.832343194,0.5222393561
0.9807550702,0.5118558913
0.9193703804,0.4527752878
0.8567686915,0.6473672345
0.9327788142,0.547160533
0.8239761697,0.5528579286
0.8210386754,0.5798157883
1.1004175722,0.5278071301
1.0585185549,0.4691863109
0.8575898479,0.4896325521
0.7258529855,0.4737025497
0.7671472671,0.5134047526
1.0494026848,0.5333075284
0.8300485518,0.5322167076
0.8077656387,0.4558641082
0.9189302876,0.4628204048
0.8167105277,0.5665400793
0.8175591584,0.5103782848
0.8106698538,0.4868468228
0.8856090953,0.5698490953
0.992199416,0.6211861727
0.8019817953,0.4717038404
0.9091298794,0.5176748207
0.7730768895,0.5175531262
0.8734905249,0.5388285906
0.821179603,0.5599348115
0.7875908318,0.5656953093
0.8907476024,0.4701188174
0.9752166427,0.5611374329
0.8804144683,0.461900634
0.8468125724,0.49563142
0.8693201209,0.4610612848
0.7995997297,0.4243839562
0.9200842617,0.5891366097
0.9474973377,0.5412607065
0.8160424016,0.5035050873
0.8483339027,0.5261419345
0.8218806386,0.3658604901
1.0627883482,0.4292260231
0.7673864015,0.5388263095
0.7021570144,0.4926958396
0.8342988905,0.4800313588
0.9430600065,0.4427566328
0.891889804,0.4650026125
0.9352591306,0.4370233982
0.9895130364,0.6142832246
0.9536890773,0.4917297733
0.9019354563,0.455202078
0.8307550333,0.3943683277
0.884777363,0.5058020922
0.8596904598,0.4735749397
