location,scale,p
3.5887459,0.1690653,0.0000135
3.5783679,0.1630578,0.0000131
3.5817677,0.1843259,0.0000125
3.5528741,0.1764376,0.0000122
3.5254831,0.1554522,0.0000157
3.5698138,0.142816,0.0000098
3.5659745,0.1639257,0.000009
3.5704186,0.1405932,0.0000094
3.5886437,0.1838404,0.0000202
3.647182,0.1644902,0.0000124
3.6173538,0.1673489,0.0000085
3.6164578,0.1798937,0.0000125
3.5474772,0.1411869,0.0000083
3.5284776,0.1372491,0.0000101
3.5195147,0.1628661,0.0000083
3.5591989,0.1425617,0.0000083
3.5951427,0.1749035,0.000012
3.4832418,0.1130597,0.0000139
3.684062,0.215214,0.0000189
3.6491906,0.1932065,0.0000123
3.6153254,0.2013112,0.0000123
3.617915,0.1911836,0.0000102
3.6059106,0.145152,0.0000123
3.5451262,0.1459622,0.0000141
3.5756687,0.1856545,0.0000119
3.6740307,0.2201365,0.0000168
3.5607491,0.1320052,0.0000133
3.6456433,0.1754255,0.0000132
3.5619958,0.1560874,0.0000156
3.5248722,0.1165899,0.0000142
3.5455818,0.184298,0.000015
3.5674428,0.1464304,0.0000107
3.5872053,0.1600441,0.0000098
3.5896477,0.2003738,0.0000132
3.5846211,0.1503398,0.0000104
3.5578906,0.1728143,0.0000148
3.5165761,0.1210568,0.0000078
3.601861,0.1968682,0.0000147
3.5697908,0.1764354,0.0000134
3.5456265,0.1423812,0.000016
3.6430212,0.1850648,0.0000193
3.6913657,0.2295996,0.0000143
3.5726742,0.168794,0.0000113
3.5415686,0.1302319,0.0000102
3.5579193,0.1250671,0.0000158
3.6380509,0.1768911,0.0000227
3.7071434,0.2125803,0.0000163
3.5919473,0.1631355,0.000016
3.5835571,0.1646203,0.0000072
3.6281345,0.2041061,0.0000099
3.5353868,0.1286641,0.0000096
3.5026484,0.1389707,0.0000107
3.5759179,0.1456477,0.0000188
3.618152,0.1828265,0.0000137
3.5332218,0.131245,0.0000139
3.5959757,0.1693615,0.0000159
3.5434874,0.1556046,0.0000151
3.5978326,0.1562307,0.0000187
3.5434786,0.1666738,0.0000125
3.6422076,0.1216683,0.0000088
3.6030483,0.143046,0.0000128
3.5669471,0.138814,0.000014
3.5920842,0.1478298,0.0000146
3.623552,0.1932837,0.0000101
3.6152005,0.187617,0.000016
3.5587552,0.1647204,0.0000125
3.5049929,0.1303375,0.0000155
3.6214233,0.1610858,0.0000226
3.5996928,0.2005186,0.0000105
3.5337241,0.1322716,0.0000125
3.5546683,0.1220214,0.0000097
3.6252877,0.1850321,0.0000228
3.5333748,0.1320024,0.0000088
3.5992626,0.1646332,0.0000125
3.5765458,0.1474657,0.0000114
3.5085197,0.1477746,0.0000089
3.6309154,0.1899937,0.0000165
3.6061818,0.2001068,0.0000123
3.6304291,0.1344041,0.0000107
3.6316404,0.1919473,0.000023
3.5394824,0.1400708,0.0000131
3.6545628,0.163539,0.0000164
3.5587551,0.15298,0.0000132
3.6247092,0.2051899,0.0000119
3.6174523,0.1993697,0.0000165
3.5682632,0.153485,0.0000128
3.6046515,0.1736966,0.0000209
3.5905854,0.1560331,0.0000137
3.572527,0.1794593,0.000016
3.5875894,0.1531088,0.0000198
3.6560156,0.2066038,0.0000145
3.5799622,0.1129004,0.0000109
3.5600688,0.1440822,0.0000137
3.5921961,0.1757372,0.0000135
3.6145936,0.157632,0.0000149
3.7172331,0.2566952,0.000019
3.5839264,0.1693433,0.0000154
3.5485299,0.1114777,0.0000125
3.5852238,0.1249706,0.0000182
3.5899566,0.1608431,0.00002
3.6429466,0.1947487,0.0000177
3.5958769,0.1494647,0.0000146
3.5573932,0.1547529,0.0000126
3.559059,0.1270144,0.000013
3.5568107,0.1560952,0.0000202
3.5398148,0.1496954,0.0000135
3.5019878,0.1269481,0.0000122
3.6152301,0.1873851,0.0000161
3.5374548,0.1249224,0.0000071
3.6500696,0.1755252,0.0000127
3.6060811,0.18306,0.0000129
3.6108919,0.1392141,0.0000108
3.6074349,0.1715762,0.0000144
3.5658293,0.1635334,0.0000135
3.644791,0.2071005,0.0000122
3.5412336,0.1666057,0.0000099
3.6105242,0.1668847,0.0000112
3.7048062,0.191835,0.0000188
3.6217088,0.2001654,0.0000162
3.6085472,0.1625943,0.0000122
3.6383662,0.2046178,0.0000175
3.6521687,0.1476244,0.0000125
3.5630229,0.1455343,0.0000126
3.5479493,0.1347927,0.0000128
3.7252393,0.2442631,0.0000129
3.5688244,0.1547682,0.0000086
3.5949795,0.1653967,0.0000161
3.5861391,0.1318413,0.0000114
3.5869935,0.1848023,0.0000143
3.5680986,0.1694422,0.0000179
3.7587588,0.2469374,0.0000123
3.5692897,0.1578781,0.0000159
3.537423,0.1245381,0.0000105
3.6472802,0.2391083,0.0000164
3.6091817,0.155876,0.0000126
3.568545,0.1438553,0.0000129
3.5417975,0.1244694,0.0000173
3.5055136,0.1491576,0.0000127
3.5085734,0.1324746,0.0000074
3.5376968,0.1163818,0.0000146
3.6156059,0.1720987,0.000016
3.6132705,0.1920001,0.0000182
3.5923083,0.1753986,0.0000064
3.5559983,0.1422156,0.0000118
3.5439041,0.1338085,0.000011
3.7207632,0.215257,0.0000148
3.5347394,0.1449713,0.0000099
