BootID,location,scale
0,4.098459,0.476081
1,4.052561,0.410252
2,4.129576,0.482429
3,4.147014,0.416054
4,4.051329,0.45433
5,4.143331,0.595652
6,4.109846,0.409225
7,4.011519,0.559107
8,4.212518,0.524932
9,4.066947,0.500956
10,4.206612,0.512517
11,4.05014,0.528773
12,4.468802,0.572113
13,4.092735,0.360434
14,4.21513,0.3335
15,4.271055,0.388345
16,4.14373,0.473521
17,4.071568,0.333506
18,4.250246,0.392695
19,4.029208,0.39843
20,4.104536,0.416879
21,4.031679,0.337755
22,4.170155,0.49866
23,4.181893,0.368395
24,4.099005,0.674497
25,4.101351,0.589123
26,4.047273,0.405463
27,4.068592,0.397587
28,4.030646,0.404068
29,4.161138,0.617469
30,3.97393,0.323854
31,4.211114,0.427712
32,4.091857,0.465223
33,4.069448,0.479119
34,4.018978,0.373091
35,4.158887,0.405414
36,4.133024,0.366355
37,4.07127,0.315257
38,4.192197,0.39407
39,4.311662,0.581608
40,4.028347,0.447069
41,4.138638,0.48358
42,4.146052,0.471095
43,3.981207,0.508658
44,4.045939,0.434507
45,4.023758,0.48323
46,4.192632,0.402753
47,4.248929,0.516628
48,4.102693,0.276758
49,4.005835,0.453252
50,4.174652,0.504405
51,4.118126,0.51455
52,4.116133,0.635192
53,3.962812,0.457169
54,4.18927,0.43125
55,4.150664,0.484118
56,4.121448,0.430676
57,4.005966,0.640063
58,4.165031,0.556903
59,3.984998,0.444134
60,4.074567,0.541103
61,4.17795,0.608534
62,4.113035,0.449596
63,4.068996,0.452483
64,4.128856,0.460838
65,4.08582,0.347782
66,4.233495,0.480249
67,4.230926,0.602592
68,3.940117,0.675967
69,3.925044,0.562852
70,4.320425,0.611326
71,4.104863,0.481183
72,4.239476,0.448356
73,4.178407,0.466038
74,4.298008,0.603503
75,3.955186,0.362592
76,4.013862,0.391528
77,4.091517,0.441537
78,4.121773,0.453986
79,4.020857,0.318598
80,4.083004,0.30946
81,3.990791,0.324713
82,4.218483,0.56549
83,3.94422,0.517109
84,4.036286,0.424825
85,4.13811,0.310579
86,3.926398,0.481524
87,4.103796,0.44741
88,4.01272,0.504533
89,3.944345,0.459111
90,4.057513,0.463275
91,4.054447,0.465925
92,3.914909,0.384964
93,4.317324,0.78737
94,4.233235,0.528501
95,4.214546,0.463733
96,4.178976,0.418053
97,4.073126,0.471019
98,3.960394,0.29193
99,3.958308,0.710936
100,4.278041,0.318184
101,3.950789,0.403992
102,4.219787,0.383305
103,4.248586,0.696888
104,4.073398,0.373109
105,4.110618,0.311856
106,4.034581,0.466319
107,4.100879,0.460701
108,4.031605,0.42972
109,4.099151,0.333648
110,3.864557,0.487546
111,4.073838,0.426079
112,4.095877,0.373383
113,4.178695,0.360736
114,4.366566,0.689588
115,4.051761,0.343578
116,4.256331,0.455277
117,4.181202,0.508574
118,4.035195,0.341248
119,4.307988,0.382245
120,4.092128,0.375879
121,4.200566,0.461762
122,4.094294,0.38289
123,4.080353,0.661593
124,4.108547,0.398852
125,4.145752,0.412734
126,3.998599,0.412106
127,3.965918,0.351879
128,4.208529,0.66477
129,4.161897,0.513604
130,3.988235,0.386006
131,4.133939,0.539545
132,3.925304,0.435287
133,4.016138,0.352385
134,4.078433,0.434368
135,4.192341,0.451759
136,4.018913,0.452739
137,4.028881,0.480596
138,4.021898,0.356737
139,4.049145,0.497595
140,4.155432,0.34864
141,4.035426,0.388616
142,4.160797,0.39723
143,4.111881,0.413669
144,3.974784,0.479513
145,4.192959,0.279793
146,4.099813,0.439186
147,4.120512,0.507157
148,4.313557,0.474271
149,4.085989,0.309751
150,4.196051,0.586914
151,4.022278,0.45199
152,3.94104,0.620913
153,4.016099,0.404144
154,4.264594,0.392895
155,4.064647,0.409042
156,4.183563,0.531962
157,4.040209,0.374999
158,4.111393,0.555349
159,4.240846,0.453382
160,3.964476,0.604672
161,4.192892,0.517789
162,4.149206,0.389636
163,3.913146,0.388684
164,4.075062,0.496142
165,4.096619,0.379037
166,4.216596,0.374996
167,4.16533,0.519166
168,4.093696,0.311206
169,4.149658,0.432396
170,4.147291,0.456777
171,3.982311,0.444604
172,3.926081,0.517623
173,4.0974,0.611243
174,4.113037,0.346439
175,4.039618,0.444506
176,4.019853,0.313965
177,3.855996,0.626364
178,4.041053,0.347186
179,4.128196,0.529112
180,4.053335,0.677177
181,4.118128,0.448925
182,4.051516,0.488079
183,3.913401,0.432449
184,4.055618,0.286797
185,4.063409,0.53337
186,4.108689,0.600358
187,4.032049,0.423622
188,4.059375,0.51548
189,4.028499,0.408362
190,4.155265,0.408423
191,4.029516,0.52861
192,4.245102,0.453512
193,3.934613,0.486236
194,3.963929,0.489219
195,4.059956,0.504171
196,4.082834,0.460796
197,4.221004,0.280742
198,4.110827,0.450761
199,4.207989,0.627868
200,4.219859,0.455201
201,4.095791,0.272867
202,4.115191,0.576417
203,4.033618,0.429637
204,4.276702,0.431549
205,4.307066,0.481835
206,4.078611,0.312547
207,4.360421,0.706017
208,4.150211,0.482561
209,4.252408,0.487333
210,3.835913,0.524861
211,4.145209,0.316369
212,4.049957,0.370403
213,4.145621,0.373099
214,3.938228,0.453138
215,4.125281,0.409602
216,3.935655,0.413953
217,4.096864,0.334389
218,4.229649,0.455823
219,4.170427,0.505617
220,4.159211,0.318158
221,4.019448,0.352298
222,4.117643,0.387355
223,4.119388,0.416267
224,4.261256,0.511226
225,4.13999,0.366434
226,4.15182,0.364949
227,4.235043,0.341091
228,3.950728,0.510886
229,4.059765,0.409098
230,3.981556,0.484516
231,4.099383,0.549742
232,3.913176,0.419646
233,4.304345,0.481272
234,4.059652,0.374738
235,4.131558,0.389137
236,4.07043,0.47423
237,4.162573,0.359692
238,4.157149,0.420996
239,4.341458,0.682182
240,4.104438,0.340288
241,4.129203,0.434583
242,4.09036,0.370019
243,4.040522,0.264935
244,4.174054,0.402342
245,4.210262,0.573831
246,4.084016,0.539454
247,3.978598,0.49811
248,4.108288,0.37376
249,4.123816,0.474342
250,4.236931,0.503557
251,4.190778,0.509843
252,4.005502,0.461703
253,4.093968,0.348269
254,3.938674,0.561016
255,4.123209,0.585149
256,4.047567,0.306125
257,4.028709,0.520309
258,4.088003,0.541998
259,4.057987,0.280455
260,4.035868,0.49333
261,4.189286,0.375803
262,4.245268,0.629404
263,4.113001,0.29687
264,4.082761,0.438258
265,4.033952,0.289423
266,4.04571,0.415256
267,3.997558,0.320206
268,3.941084,0.678966
269,3.849333,0.574831
270,4.094277,0.322051
271,4.177798,0.364245
272,4.107268,0.462983
273,4.169193,0.509453
274,4.166867,0.501486
275,4.103546,0.36407
276,3.922384,0.648144
277,4.124921,0.561466
278,3.953994,0.658503
279,4.024607,0.479419
280,4.131066,0.435825
281,4.13988,0.547834
282,3.996697,0.328844
283,3.952687,0.448707
284,4.142752,0.461638
285,4.112647,0.389394
286,4.023886,0.530371
287,4.035067,0.293344
288,4.225797,0.68529
289,4.103533,0.334941
290,4.319206,0.57069
291,4.049149,0.514677
292,4.131096,0.404928
293,4.146458,0.386209
294,4.293705,0.41467
295,4.111047,0.410411
296,4.130437,0.613872
297,4.129649,0.51767
298,4.089446,0.435911
299,4.100736,0.37765
300,4.135788,0.512579
301,4.158839,0.518391
302,4.014713,0.440334
303,4.149908,0.548351
304,4.106106,0.311956
305,4.027004,0.469528
306,4.072019,0.429611
307,4.093746,0.440818
308,4.143002,0.332201
309,4.113064,0.435268
310,4.261414,0.676036
311,3.928929,0.47607
312,4.245542,0.457123
313,4.078447,0.446926
314,4.159895,0.377288
315,4.03558,0.377735
316,4.114287,0.43595
317,4.082959,0.474976
318,4.101453,0.331143
319,4.199102,0.511139
320,4.071621,0.442226
321,4.26911,0.420078
322,4.197511,0.426044
323,4.179234,0.406736
324,4.10637,0.339985
325,4.071568,0.384486
326,3.963831,0.375133
327,4.098863,0.462447
