BootID,location,scale
0,4.098459,0.476081
1,4.227871,0.38107
2,4.336858,0.56862
3,4.254097,0.53803
4,4.10997,0.571765
5,4.062338,0.405957
6,4.062106,0.473159
7,4.09346,0.45551
8,4.056973,0.442447
9,4.069036,0.316572
10,4.178911,0.439945
11,4.088467,0.387192
12,4.172847,0.317887
13,4.264007,0.391062
14,4.177369,0.369271
15,3.988375,0.529981
16,4.156053,0.539542
17,4.170571,0.535329
18,4.085143,0.395784
19,4.176193,0.501555
20,4.078406,0.475494
21,4.072285,0.620858
22,4.024764,0.336717
23,4.201359,0.396183
24,4.148553,0.406661
25,4.18232,0.24693
26,3.926582,0.635054
27,4.126663,0.298387
28,4.238485,0.536208
29,4.052047,0.489553
30,3.960769,0.502235
31,4.121161,0.4342
32,4.039002,0.532923
33,4.136414,0.460059
34,4.071211,0.551853
35,4.238827,0.450007
36,4.281259,0.46739
37,4.093148,0.446936
38,4.254114,0.590168
39,4.134104,0.454746
40,4.068242,0.399215
41,4.145053,0.475045
42,3.962714,0.465548
43,4.081181,0.446486
44,4.064085,0.429334
45,4.129662,0.501081
46,4.0913,0.440654
47,4.07124,0.325506
48,3.900978,0.414612
49,4.108395,0.355784
50,4.071426,0.218491
51,4.163988,0.530375
52,3.992154,0.451236
53,4.050728,0.356581
54,4.126472,0.468237
55,4.001585,0.526468
56,4.057973,0.393526
57,4.002784,0.450388
58,4.124041,0.540998
59,4.199262,0.459468
60,4.137215,0.449344
61,4.281281,0.510275
62,3.835405,0.648322
63,3.982636,0.460189
64,4.118729,0.739075
65,3.969322,0.488095
66,4.170158,0.331659
67,4.178045,0.389819
68,4.013436,0.561963
69,4.133643,0.717628
70,4.19688,0.609419
71,3.938397,0.325865
72,4.010505,0.449384
73,4.116337,0.715797
74,4.043266,0.432939
75,3.991854,0.498359
76,3.963782,0.377577
77,3.960255,0.415705
78,4.135056,0.428232
79,4.057146,0.526703
80,4.065195,0.42378
81,3.99802,0.382317
82,4.013244,0.437351
83,4.141606,0.246954
84,4.140941,0.4742
85,4.178807,0.325247
86,4.14759,0.606201
87,3.732922,0.558346
88,4.115484,0.440319
89,4.287112,0.441054
90,3.950623,0.499247
91,3.958308,0.583561
92,4.125621,0.572063
93,4.390065,0.595301
94,4.157291,0.383788
95,4.052437,0.617874
96,4.085417,0.342212
97,4.092338,0.616834
98,4.006425,0.404094
99,4.102392,0.391947
100,4.118086,0.50109
101,4.106768,0.489199
102,4.160025,0.507253
103,4.200226,0.570758
104,4.107702,0.517378
105,4.203634,0.270149
106,4.17589,0.292073
107,4.121457,0.329592
108,4.23463,0.436476
109,4.062718,0.486364
110,3.959231,0.513151
111,4.151204,0.321216
112,4.020694,0.479133
113,3.903699,0.355615
114,4.182754,0.461179
115,4.148051,0.474266
116,4.099618,0.3203
117,4.110808,0.489582
118,4.207285,0.543049
119,4.079594,0.315901
120,3.92635,0.44038
121,3.987813,0.561017
122,4.141023,0.223689
123,4.080908,0.47053
124,4.058489,0.403414
125,4.116745,0.413244
126,3.997948,0.460172
127,4.143059,0.397053
128,3.918931,0.403247
129,4.147666,0.567831
130,4.110137,0.605424
131,4.214287,0.49003
132,4.096036,0.565137
133,4.075707,0.418547
134,4.168071,0.562761
135,4.188526,0.549452
136,4.16039,0.393512
137,4.172652,0.655714
138,3.96041,0.437879
139,4.167367,0.624162
140,4.147118,0.265718
141,4.119435,0.310079
142,4.039592,0.243781
143,4.378589,0.403732
144,4.187974,0.316245
145,4.235858,0.453553
146,4.172911,0.45836
147,4.144064,0.388202
148,4.142076,0.454674
149,4.191268,0.38276
150,3.867769,0.455865
151,3.926496,0.550424
152,4.307328,0.390999
153,4.069313,0.367738
154,4.037126,0.603126
155,4.099355,0.403678
156,4.146268,0.513293
157,3.96358,0.470573
158,3.994221,0.377628
159,4.037302,0.566199
160,4.192015,0.501507
161,4.25158,0.366142
162,4.075982,0.300092
163,4.014002,0.336999
164,4.082101,0.487492
165,4.153831,0.312225
166,3.918314,0.494737
167,4.158061,0.440789
168,4.134893,0.357023
169,4.02016,0.479098
170,3.936606,0.454559
171,3.946455,0.511382
172,4.145244,0.391657
173,4.050714,0.436725
174,4.22325,0.271985
175,4.059722,0.437328
176,4.226481,0.478904
177,4.200409,0.318511
178,4.139431,0.277122
179,3.955776,0.583963
180,3.881881,0.448815
181,4.092433,0.243031
182,4.381067,0.755955
183,4.055652,0.590266
184,4.064613,0.425806
185,4.128491,0.427651
186,4.363568,0.53071
187,4.081328,0.497392
188,3.865132,0.537751
189,4.084991,0.496377
190,4.101814,0.327702
191,4.189612,0.315607
192,4.161063,0.373888
193,4.061852,0.619359
194,4.194246,0.41656
195,4.144171,0.531218
196,4.016509,0.578939
197,4.123829,0.447235
198,4.149962,0.353319
199,4.020029,0.567769
200,3.957922,0.384599
201,4.059975,0.441575
202,4.189781,0.304198
203,4.222827,0.391798
204,4.230093,0.467931
205,3.977103,0.301136
206,3.952236,0.420355
207,4.153034,0.387163
208,4.08329,0.589288
209,4.301416,0.775451
210,4.02019,0.338956
211,4.36643,0.762556
212,4.093683,0.42746
213,4.146129,0.518316
214,4.218594,0.37118
215,4.058767,0.387407
216,4.063001,0.540901
217,4.094171,0.415454
218,4.203608,0.385685
219,4.218321,0.373254
220,4.190396,0.422369
221,4.084378,0.495383
222,4.100493,0.26887
223,4.037653,0.281174
224,4.03363,0.633601
225,4.098548,0.543378
226,4.172049,0.508127
227,4.124116,0.281723
228,3.858793,0.560291
229,4.087802,0.339452
230,4.084765,0.475413
231,4.137449,0.431067
232,4.195671,0.516657
233,3.959968,0.32562
234,4.127526,0.511512
235,4.156384,0.257715
236,4.034839,0.543278
237,4.271284,0.576228
238,4.202507,0.270498
239,4.041129,0.425451
240,4.07429,0.272023
241,4.033128,0.309894
242,4.288767,0.38111
243,4.093955,0.557227
244,4.111441,0.396773
245,4.032897,0.399379
246,4.213426,0.490581
247,3.92048,0.540311
248,4.030486,0.473935
249,4.209259,0.45796
250,3.991353,0.425169
251,4.150598,0.496676
252,4.168144,0.418486
253,4.138829,0.457659
254,4.099576,0.365846
255,4.077672,0.453593
256,4.049263,0.403835
257,4.228958,0.411882
258,4.245756,0.5126
259,4.242977,0.741574
260,3.876837,0.50039
261,4.026244,0.391113
262,3.957972,0.31929
263,4.075463,0.65729
264,4.199183,0.207159
265,4.052697,0.545048
266,4.30596,0.693214
267,4.167126,0.588486
268,4.161395,0.395363
269,3.869028,0.337753
270,4.046827,0.447637
271,3.991964,0.417693
272,3.967052,0.396876
273,4.078313,0.26885
274,4.308112,0.676101
275,4.132725,0.456376
276,4.010383,0.398821
277,4.142014,0.313283
278,3.996752,0.426733
279,3.910134,0.462478
280,3.894385,0.502506
281,4.157227,0.612844
282,3.970762,0.444597
283,4.252004,0.568274
284,4.053749,0.344328
285,4.052284,0.627272
286,4.079478,0.347542
287,4.12422,0.492484
288,4.124846,0.43155
289,4.108936,0.377655
290,4.263774,0.5966
291,4.207312,0.410792
292,3.943248,0.322893
293,4.434447,0.726505
294,4.045813,0.268271
295,4.026998,0.330312
296,4.351206,0.62319
297,4.022935,0.451303
298,4.128392,0.487348
299,4.155,0.414928
300,4.177284,0.269499
301,4.065562,0.401795
302,4.173148,0.507776
303,4.125703,0.348519
304,3.97609,0.423552
305,4.128671,0.658916
306,4.074481,0.664639
307,4.133929,0.253718
308,4.036707,0.51751
309,3.970825,0.524185
310,3.956877,0.471386
311,4.047117,0.435726
312,4.117621,0.488184
313,4.086884,0.515262
314,4.084669,0.508303
315,4.113143,0.452714
316,4.162827,0.281837
317,4.088392,0.604672
318,4.057038,0.624059
319,4.062667,0.405428
320,3.923658,0.545644
321,4.205301,0.616598
322,4.186704,0.565678
323,4.139573,0.344178
324,4.012466,0.353842
325,4.194786,0.578383
326,4.060913,0.473211
327,4.042617,0.415379
328,4.01444,0.464681
329,4.172515,0.414599
330,3.930447,0.54178
331,4.105755,0.487315
332,4.093409,0.444146
333,4.069841,0.238572
334,4.038126,0.39044
335,4.027482,0.556358
336,4.092409,0.360931
337,4.063647,0.39119
