BootID,location,scale
0,10.23,0.316
1,10.484,0.594
2,10.141,0.327
3,10.282,0.399
4,10.163,0.291
5,10.226,0.256
6,10.163,0.263
7,10.226,0.187
8,10.235,0.314
9,10.232,0.345
10,10.227,0.354
11,10.294,0.283
12,10.146,0.251
13,10.191,0.268
14,10.3,0.296
15,10.303,0.384
16,10.243,0.335
17,10.236,0.22
18,10.336,0.407
19,10.203,0.216
20,10.18,0.344
21,10.417,0.32
22,10.199,0.291
23,10.228,0.294
24,10.268,0.272
25,10.1,0.196
26,10.225,0.245
27,10.296,0.39
28,10.218,0.259
29,10.337,0.394
30,10.23,0.378
31,10.193,0.372
32,10.329,0.436
33,10.335,0.441
34,10.349,0.275
35,10.168,0.486
36,10.248,0.312
37,10.155,0.3
38,10.435,0.336
39,10.231,0.275
40,10.24,0.379
41,10.245,0.406
42,10.226,0.331
43,10.289,0.25
44,10.12,0.338
45,10.146,0.202
46,9.995,0.301
47,10.324,0.367
48,10.221,0.256
49,10.149,0.511
50,10.085,0.299
51,10.295,0.355
52,10.332,0.334
53,10.293,0.267
54,10.057,0.272
55,10.357,0.403
56,10.252,0.148
57,10.176,0.273
58,10.282,0.222
59,10.406,0.38
60,10.252,0.234
61,10.348,0.264
62,10.242,0.334
63,10.02,0.384
64,10.249,0.286
65,10.181,0.258
66,10.179,0.286
67,10.074,0.313
68,10.327,0.481
69,10.117,0.311
70,10.23,0.279
71,10.175,0.231
72,10.248,0.319
73,10.195,0.183
74,10.676,0.497
75,10.388,0.319
76,10.412,0.268
77,10.174,0.302
78,10.354,0.262
79,10.378,0.359
80,10.112,0.275
81,10.294,0.376
82,10.444,0.308
83,10.206,0.328
84,10.12,0.291
85,10.162,0.281
86,10.221,0.259
87,10.306,0.348
88,10.121,0.399
89,10.228,0.351
90,10.223,0.381
91,10.196,0.278
92,10.069,0.252
93,10.228,0.311
94,10.316,0.263
95,10.054,0.315
96,10.448,0.468
97,10.3,0.303
98,10.051,0.336
99,10.273,0.317
100,10.449,0.424
101,10.157,0.292
102,10.197,0.245
103,10.096,0.271
104,10.11,0.32
105,10.145,0.356
106,10.167,0.344
107,10.206,0.31
108,10.232,0.298
109,10.263,0.453
110,10.186,0.184
111,10.061,0.212
112,10.152,0.266
113,10.14,0.277
114,10.259,0.316
115,10.23,0.334
116,10.149,0.277
117,10.458,0.438
118,10.075,0.462
119,10.088,0.331
120,10.186,0.353
121,10.218,0.267
122,10.905,0.448
123,10.326,0.253
124,10.173,0.357
125,10.115,0.4
126,10.377,0.239
127,10.139,0.326
