BootID,location,scale
0,10.145,0.53
1,9.909,0.414
2,10.039,0.417
3,10.52,0.631
4,10.177,0.434
5,10.151,0.551
6,10.13,0.456
7,10.21,0.633
8,10.489,0.769
9,10.099,0.308
10,9.937,0.452
11,10.069,0.463
12,10.168,0.539
13,10.149,0.479
14,10.197,0.59
15,10.363,0.571
16,10.082,0.388
17,10.061,0.488
18,10.127,0.52
19,10.42,0.715
20,10.2,0.364
21,10.031,0.444
22,10.106,0.537
23,10.115,0.563
24,10.389,0.68
25,10.015,0.45
26,10.327,0.693
27,10.087,0.533
28,10.214,0.475
29,10.088,0.483
30,10.219,0.667
31,10.344,0.575
32,10.15,0.48
33,9.969,0.558
34,10.034,0.631
35,9.955,0.462
36,10.147,0.346
37,10.01,0.402
38,10.071,0.425
39,10.263,0.503
40,10.263,0.521
41,10.295,0.496
42,10.154,0.432
43,10.063,0.431
44,10.108,0.636
45,10.057,0.54
46,9.934,0.399
47,9.962,0.575
48,10.092,0.369
49,10.466,0.798
50,10.229,0.497
51,10.032,0.402
52,9.977,0.468
53,9.992,0.462
54,9.958,0.561
55,10.081,0.439
56,10.166,0.541
57,10.157,0.482
58,10.479,0.687
59,10.126,0.621
60,10.179,0.352
61,10.321,0.679
62,10.043,0.416
63,10.108,0.498
64,9.927,0.371
65,10.125,0.665
66,10.006,0.598
67,10.181,0.614
68,10.027,0.461
69,10.131,0.681
70,10.276,0.517
71,10.453,0.626
72,10.372,0.615
73,10.044,0.553
74,10.553,0.727
75,10.012,0.365
76,10.234,0.705
77,9.947,0.399
78,10.171,0.407
79,10.619,0.639
80,10.084,0.537
81,10.226,0.489
82,10.152,0.419
83,9.873,0.594
84,10.166,0.614
85,10.127,0.608
86,10.208,0.639
87,10.053,0.433
88,10.245,0.547
89,10.448,0.746
90,10.156,0.417
91,9.971,0.583
92,10.164,0.665
93,10.148,0.637
94,10.031,0.396
95,10.062,0.47
96,10.092,0.437
97,10.172,0.668
98,10.181,0.47
99,9.975,0.589
100,10.21,0.452
101,10.121,0.42
102,10.099,0.527
103,10.257,0.565
104,10.178,0.427
105,10.235,0.494
106,10.256,0.629
107,10.094,0.436
108,10.148,0.461
109,10.227,0.592
110,10.078,0.438
111,10.184,0.279
112,10.472,0.736
113,9.961,0.457
114,9.901,0.56
115,10.312,0.723
116,10.332,0.58
117,10.036,0.466
118,10.421,0.542
119,10.292,0.592
120,10.461,0.823
121,10.314,0.583
122,10.102,0.454
123,10.084,0.544
124,10.071,0.354
125,10.153,0.436
126,9.826,0.53
127,10.165,0.462
128,10.012,0.405
129,10.11,0.572
130,9.985,0.489
131,9.979,0.408
132,10.173,0.597
133,9.923,0.528
134,10.011,0.444
135,10.452,0.723
136,10.214,0.641
137,10.117,0.43
138,10.169,0.502
139,10.123,0.38
140,10.087,0.486
141,10.136,0.549
142,10.179,0.524
143,10.467,0.921
144,10.235,0.477
145,10.351,0.577
146,10.103,0.479
147,10.31,0.497
148,10.199,0.369
149,10.234,0.529
150,9.938,0.487
151,10.425,0.553
152,10.233,0.421
153,10.17,0.449
154,10.272,0.707
155,10.172,0.635
156,10.237,0.613
157,10.098,0.6
158,10.135,0.387
159,10.212,0.487
160,10.016,0.362
161,10.332,0.723
162,10.029,0.481
163,10.021,0.481
164,10.028,0.435
165,10.241,0.755
166,10.098,0.505
167,10.079,0.417
168,10.362,0.744
169,10.223,0.635
170,10.049,0.621
171,10.099,0.646
172,10.218,0.434
173,10.015,0.547
174,10.157,0.426
175,10.331,0.577
176,10.035,0.404
177,10.31,0.801
178,10.147,0.642
179,10.441,0.675
180,10.308,0.549
181,10.27,0.497
182,10.175,0.528
183,10.092,0.398
184,10.685,0.827
185,10.089,0.337
186,10.159,0.502
187,10.531,0.807
188,10.338,0.612
189,10.13,0.371
190,10.337,0.401
191,10.297,0.494
192,10.112,0.553
193,9.959,0.483
194,10.087,0.479
195,10.161,0.485
196,10.053,0.594
197,10.012,0.636
198,10.12,0.504
199,10.091,0.461
200,10.111,0.388
201,10.179,0.418
202,10.171,0.56
203,10.21,0.448
204,10.391,0.7
205,10.252,0.497
206,10.171,0.529
207,10.223,0.527
208,10.201,0.633
209,10.091,0.51
210,10.177,0.396
211,9.93,0.432
212,10.163,0.46
213,10.244,0.517
214,10.181,0.58
215,10.075,0.493
216,10.105,0.446
217,10.202,0.47
218,10.187,0.415
219,10.309,0.584
220,10.197,0.459
221,10.208,0.497
222,10.261,0.831
223,10.103,0.453
224,10.429,0.569
225,10.22,0.469
226,9.972,0.485
227,10.126,0.552
228,10.43,0.606
229,10.064,0.51
230,10.246,0.577
231,10.122,0.423
232,10.124,0.577
233,10.106,0.38
234,10.281,0.662
235,10.224,0.545
236,10.188,0.459
237,10.08,0.35
238,10.211,0.669
239,10.329,0.523
240,10.291,0.594
241,10.191,0.661
242,10.292,0.611
243,10.096,0.365
244,10.105,0.418
245,10.135,0.56
246,10.124,0.614
247,10.036,0.424
248,10.044,0.427
249,10.147,0.647
250,10.029,0.502
251,9.999,0.468
252,10.187,0.706
253,10.308,0.679
254,9.981,0.348
255,9.983,0.356
256,10.109,0.538
257,9.957,0.455
258,10.036,0.537
259,10.083,0.483
260,10.03,0.484
261,10.124,0.316
262,10.233,0.517
263,10.299,0.551
264,10.34,0.595
265,9.97,0.373
266,10.004,0.551
267,10.26,0.47
268,10.069,0.412
269,10.05,0.51
270,9.952,0.436
271,10.025,0.515
272,10.144,0.379
273,10.157,0.512
274,10.257,0.6
275,10.092,0.473
276,10.28,0.709
277,10.063,0.365
278,10.12,0.511
279,10.238,0.486
280,10.016,0.438
281,10.1,0.542
282,10.089,0.392
283,9.96,0.362
284,10.283,0.519
285,10.209,0.728
286,10.085,0.712
287,10.292,0.482
288,10.007,0.509
289,10.153,0.511
290,10.069,0.386
291,10.181,0.448
292,10.137,0.409
293,10.171,0.554
294,10.16,0.535
295,10.234,0.623
296,10.104,0.362
297,9.999,0.331
298,10.011,0.283
299,10.03,0.305
300,9.989,0.62
301,10.088,0.687
302,10.148,0.534
303,9.979,0.444
304,10.209,0.6
305,10.314,0.798
306,10.022,0.503
307,10.181,0.502
308,10.214,0.434
309,10.161,0.555
310,10.308,0.63
311,10.139,0.487
312,10.057,0.4
313,10.097,0.533
314,10.267,0.591
315,10.226,0.54
316,10.16,0.546
317,10.17,0.486
318,9.939,0.34
319,10.271,0.742
320,10.184,0.435
321,10.446,0.557
322,9.852,0.436
323,10.072,0.579
324,10.101,0.538
325,10.253,0.678
326,9.942,0.429
327,10.345,0.612
328,10.145,0.467
329,10.07,0.332
330,10.028,0.426
331,10.239,0.499
332,10.169,0.418
333,10.278,0.642
334,10.163,0.49
335,9.911,0.502
336,10.148,0.598
337,10.096,0.429
338,10.717,0.818
339,10.551,0.803
340,10.148,0.418
341,10.25,0.421
342,10.279,0.633
343,10.081,0.456
344,10.138,0.55
345,9.965,0.426
346,10.119,0.513
347,10.295,0.532
348,10.124,0.531
349,10.302,0.684
350,9.976,0.688
351,9.988,0.351
352,10.21,0.635
353,10.097,0.422
354,10.087,0.577
355,10.271,0.771
356,10.083,0.541
357,10.072,0.469
358,10.014,0.49
359,10.229,0.535
360,10.322,0.619
361,10.127,0.502
362,10.462,0.805
363,10.238,0.612
364,10.139,0.49
365,10.079,0.419
366,10.25,0.564
367,10.198,0.469
368,10.446,0.788
369,9.923,0.451
370,9.957,0.495
371,10.209,0.5
372,10.102,0.413
373,10.185,0.625
374,10.206,0.388
375,10.031,0.457
376,10.375,0.534
377,10.302,0.45
378,10.056,0.41
379,10.298,0.651
380,9.971,0.387
381,10.504,0.553
382,10.364,0.663
383,10.379,0.495
384,10.013,0.467
385,10.147,0.344
386,10.253,0.796
387,10.347,0.582
388,10.205,0.72
389,9.912,0.41
390,10.481,0.519
391,10.165,0.456
392,9.937,0.488
393,10.057,0.475
394,10.112,0.482
395,9.983,0.424
396,10.102,0.547
397,10.023,0.59
398,10.061,0.365
399,9.97,0.403
400,10.116,0.52
401,10.165,0.396
402,10.434,0.766
403,10.003,0.552
404,10.291,0.602
405,10.335,0.866
406,10.119,0.556
407,10.197,0.617
408,10.119,0.441
409,9.926,0.373
410,10.298,0.653
411,9.995,0.417
412,9.947,0.388
413,10.198,0.461
414,10.088,0.45
415,10.151,0.449
416,10.206,0.449
417,10.183,0.515
418,10.11,0.524
419,10.043,0.468
420,10.061,0.437
421,10.062,0.391
422,10.169,0.601
423,10.071,0.639
424,10.055,0.505
425,9.905,0.419
426,10.225,0.477
427,10.426,0.829
428,10.028,0.728
429,10.359,0.562
430,10.042,0.609
431,10.119,0.509
432,10.109,0.597
433,10.065,0.651
434,10.04,0.686
435,10.229,0.638
436,10.035,0.399
437,9.993,0.439
438,10.076,0.347
439,10.002,0.385
440,10.106,0.538
441,10.23,0.394
442,10.015,0.444
443,10.152,0.383
444,10.227,0.577
445,10.222,0.555
446,10.28,0.541
447,9.98,0.464
448,10.083,0.528
449,10.135,0.445
450,10.102,0.468
451,10.353,0.769
452,10.245,0.661
453,10.265,0.637
454,10.061,0.365
455,10.12,0.47
456,10.079,0.363
457,10.153,0.645
458,10.135,0.587
459,10.071,0.661
460,10.119,0.36
461,10.098,0.464
462,10.136,0.597
463,10.071,0.606
464,10.108,0.539
465,10.115,0.583
466,10.032,0.334
467,10.194,0.69
468,10.211,0.589
469,10.119,0.561
470,10.194,0.618
471,10.231,0.692
472,10.081,0.432
473,10.29,0.436
474,10.167,0.433
475,10.016,0.453
476,10.103,0.566
477,10.145,0.501
478,10.079,0.493
479,10.06,0.466
480,10.33,0.591
481,10.025,0.704
482,10.097,0.41
483,10.22,0.587
484,9.994,0.479
485,10.073,0.488
486,10.284,0.545
487,10.009,0.502
488,9.941,0.49
489,10.194,0.554
490,10.214,0.606
491,10.082,0.56
492,10.136,0.518
493,10.067,0.392
494,10.083,0.492
495,10.2,0.551
496,10.164,0.461
497,10.351,0.501
498,10.388,0.474
499,10.176,0.466
500,9.981,0.4
501,10.211,0.365
502,10.172,0.479
503,10.176,0.391
504,10.263,0.667
505,10.157,0.508
506,10.157,0.475
507,10.05,0.379
508,10.202,0.488
509,10.066,0.524
510,10.224,0.631
511,10.142,0.508
512,9.996,0.526
513,10.056,0.597
514,10.018,0.418
515,10.224,0.417
516,10.108,0.448
517,10.109,0.437
518,10.112,0.462
519,10.159,0.471
520,10.176,0.461
521,10.093,0.476
522,9.97,0.381
523,10.183,0.597
524,10.105,0.547
525,10.128,0.394
526,10.005,0.506
527,10.268,0.628
528,10.063,0.347
529,9.943,0.336
530,10.067,0.514
531,10.144,0.507
532,10.044,0.455
533,10.065,0.673
534,10.047,0.271
535,10.175,0.416
536,10.062,0.414
537,10.243,0.508
538,10.221,0.45
539,10.026,0.556
540,10.083,0.442
541,9.937,0.502
542,10.144,0.579
543,10.057,0.483
544,10.288,0.517
545,10.236,0.526
546,10.128,0.445
547,10.042,0.463
548,10.142,0.475
549,10.154,0.489
550,9.909,0.449
551,10.086,0.328
552,10.292,0.597
553,10.191,0.477
554,10.449,0.764
555,10.16,0.376
556,10.093,0.575
557,10.11,0.708
558,9.984,0.378
