sigma1,sigma2,mu1,mu2,logit_p
0.746344421,0.209212824,8.060829721,10.13427012,-2.987342364
0.843664736,0.211662362,8.145039477,10.1348301,-2.917402981
0.729141044,0.213428427,8.295327361,10.1410928,-3.208996956
1.188464789,0.208540493,8.205036963,10.12554119,-2.939201558
1.267950438,0.207944932,8.051190037,10.1260254,-2.593043112
0.726403364,0.214701331,8.246512874,10.12855503,-3.21309622
0.832861346,0.224665648,7.872952351,10.136049,-2.849596183
1.025111051,0.212673566,8.236821203,10.12741897,-3.229421551
0.693822478,0.207534307,8.061732623,10.12784684,-2.716575878
1.17764063,0.213870323,7.728571361,10.12961458,-2.366159515
0.737287402,0.22316764,8.198939295,10.12920502,-3.106587657
1.000178097,0.217967468,7.855340144,10.1418176,-2.616934473
0.689065456,0.220636918,8.2603961,10.136732,-3.160459013
1.079547393,0.212510451,7.723100271,10.13880497,-2.405161402
1.015948607,0.217100749,7.813740833,10.12743295,-2.883184713
0.833976435,0.205802107,8.449224275,10.13677906,-2.903219551
1.242437268,0.217233225,7.854422393,10.13740299,-2.519263729
0.858973507,0.201419921,8.259788655,10.12604369,-2.951716654
0.90111948,0.215669151,7.922204265,10.12746118,-2.656032754
0.835302032,0.213066738,7.922677387,10.1299519,-2.688629255
0.731018099,0.219848927,8.164538091,10.12226615,-2.89512118
0.765233377,0.215467349,8.011260831,10.13381402,-2.932337754
0.767454372,0.217991725,8.454145659,10.13791113,-3.14695479
0.661675884,0.220027077,8.219868256,10.13583583,-3.213119187
1.023507378,0.202480705,8.672618944,10.1209457,-3.395454019
0.774308057,0.214287295,7.755594021,10.12915539,-2.833154661
2.073759681,0.21080117,7.88453512,10.14083166,-2.6943038
1.188382463,0.210397594,7.534226644,10.13515843,-2.486186377
0.988593846,0.20723527,7.992637139,10.12459257,-3.037992318
0.519163055,0.20988649,8.496717363,10.1263055,-3.198937364
1.317807272,0.2076101,7.994466519,10.12264863,-2.693189239
1.061285522,0.215434121,7.910115878,10.13737087,-2.832773917
1.077708333,0.207837413,7.865028673,10.12539934,-2.682500783
0.755166942,0.211260576,7.962711712,10.12668303,-2.829984137
0.92388378,0.209969351,8.094665502,10.13057538,-2.946318333
1.311948661,0.202770385,8.028928449,10.13887694,-2.671609707
2.170532303,0.204979764,8.584931668,10.13096011,-2.364404023
0.985754746,0.206274319,7.687437641,10.13252045,-2.84387622
1.357117335,0.206234545,8.069524968,10.13367347,-2.675082118
0.745468895,0.214293764,8.008608424,10.13006208,-3.316155679
1.598350981,0.218824607,7.955287579,10.13647446,-2.610676951
1.376576212,0.210068581,8.015748824,10.13085252,-2.968632863
1.171494976,0.213169954,7.870738386,10.13455792,-2.857144874
1.08300876,0.21413045,7.526857683,10.1326097,-2.514656108
1.019486672,0.213767219,7.575751424,10.12383588,-3.023511868
0.952539708,0.216440625,8.184411965,10.13263299,-3.420351729
0.988855493,0.212482067,7.840569739,10.13125891,-2.966799764
0.695576083,0.216493099,8.213821925,10.14015651,-3.041739447
0.847903516,0.213272277,7.902855876,10.13487343,-2.898585749
0.658445532,0.219905451,8.162803928,10.13271058,-2.955020867
0.619563027,0.207460603,8.44364378,10.13137783,-3.322112434
0.968917209,0.209303963,8.395195086,10.13038364,-3.397030612
0.830787487,0.21901952,7.769507785,10.13653138,-2.807518572
0.72163228,0.207213333,8.360914759,10.12813571,-2.886667674
0.996946581,0.213253255,7.966576242,10.13035714,-2.662193666
1.026951903,0.214831225,7.949969445,10.14089112,-2.829636888
1.039796753,0.20762644,8.176475728,10.12701692,-2.919688566
1.224941381,0.217705997,7.594046316,10.13490067,-2.689521891
0.987407834,0.212575517,8.205475053,10.13447585,-2.986347075
1.013887785,0.212933126,7.876581572,10.1264037,-3.085109564
0.694881697,0.209885328,8.221727722,10.13069499,-3.234845696
0.810935709,0.211002426,7.961638808,10.13561248,-2.620040301
1.422590908,0.213664602,7.598377635,10.14586934,-2.731652689
0.659484896,0.212470076,8.160613007,10.12955499,-3.199734595
0.680529163,0.216211543,8.062708091,10.13208666,-2.932275068
0.991646287,0.206723615,7.937108037,10.13333526,-2.723478005
0.801731149,0.228191268,7.80710877,10.14507515,-3.232649131
0.769444127,0.208563136,8.244575604,10.12415174,-3.075541403
0.930601451,0.212613717,7.773157786,10.13512412,-3.017338584
0.913749745,0.212024036,8.099561672,10.13237862,-3.134805852
1.005567603,0.203073854,8.371188331,10.1303637,-2.86770011
0.746153615,0.209894092,8.140069604,10.13116264,-2.654722064
0.92927967,0.203886201,8.695564815,10.1290504,-2.910958792
0.757393072,0.222174959,8.235760401,10.13509361,-3.063161763
1.130261469,0.210169199,7.747735628,10.12832244,-2.574114982
0.980750246,0.217538008,7.61843895,10.13548154,-2.731561579
0.946166363,0.206206425,8.006263698,10.13334698,-2.93137215
0.752668602,0.219937488,7.82978301,10.12608801,-3.128812454
1.101188332,0.204717033,8.583738253,10.1226226,-3.168860812
0.81584441,0.220521717,7.956988961,10.13599339,-2.762026973
1.039125734,0.210720581,7.679335611,10.12507121,-2.908522187
0.767622805,0.20800267,8.253074439,10.1255519,-2.865708614
0.9946211,0.213029474,8.085019518,10.13021978,-3.022961512
0.90716104,0.215778963,8.10434055,10.12755682,-3.134414214
0.627878688,0.21954019,8.078861585,10.13719703,-3.152094132
0.98953132,0.207465978,7.94706608,10.13080843,-2.869519309
1.068340143,0.212895407,7.689875671,10.13960108,-2.575169403
0.896066065,0.212302817,7.630737156,10.13878916,-2.73741307
0.792360069,0.210091274,8.336172652,10.14142995,-3.093960971
1.363978619,0.20895052,8.388821763,10.13275486,-2.571305645
0.805939342,0.213344414,8.065675249,10.12923093,-3.126031333
0.883473043,0.205385294,8.171161757,10.12946689,-2.768294903
0.618346101,0.213114388,8.176551542,10.14215016,-3.345357226
0.734322944,0.223031325,8.162681436,10.13468904,-2.987772601
0.560455159,0.211100229,8.101010881,10.12464888,-3.218931429
1.0466634,0.218746741,7.834214613,10.12516492,-3.046390561
1.215395754,0.215645216,7.762517986,10.1292362,-2.819795904
1.113885368,0.212477532,7.629895128,10.13578237,-2.770779104
1.086728034,0.211223966,7.718084942,10.1297088,-2.949045054
1.10544443,0.214466035,8.38074713,10.14073477,-2.856823397
0.917561736,0.222232454,7.803732275,10.13226977,-2.675173069
1.129868287,0.211862832,7.874160458,10.13108657,-3.032727803
0.466619951,0.220745798,8.299587738,10.13671427,-3.080046094
1.144496293,0.206221391,8.13776939,10.12774675,-2.85759425
0.567270894,0.208178325,8.356477446,10.12211006,-3.139842432
1.356636885,0.210350543,8.260585431,10.13291386,-2.896378775
1.209796916,0.216011032,7.739744793,10.12766907,-3.228432649
0.964507867,0.212920848,7.646383015,10.13008397,-2.752108985
0.818154857,0.210441686,8.050653338,10.12357156,-2.879189203
1.035055513,0.220993601,7.565399539,10.1308759,-2.720678246
0.924239246,0.211500456,8.010288433,10.13530148,-2.99092613
1.121936826,0.195796262,8.131793587,10.11674995,-2.72658068
0.819875963,0.210501091,8.120190396,10.14261096,-2.871747129
0.934877896,0.214431072,8.190293193,10.12477457,-3.230141386
0.820679778,0.205186583,8.574777162,10.13454228,-3.078146055
0.834957842,0.211607848,7.882566874,10.13809519,-2.896846737
0.992691954,0.211628738,7.930069581,10.12865855,-2.598552697
0.765506307,0.212955642,7.726640789,10.13368615,-2.894170886
1.027693482,0.212673542,8.161011986,10.1462418,-2.898675207
0.673031204,0.215253797,8.214487176,10.12929559,-3.646033783
0.676852361,0.209194469,8.009726806,10.1333639,-2.689954439
0.977525686,0.218619557,7.824827688,10.13323333,-2.652606981
0.837227994,0.216914072,8.22990021,10.13601359,-3.131590642
0.869131829,0.204784524,8.273748491,10.1243619,-3.11839982
0.651955706,0.209764203,8.284611945,10.13131167,-2.869858211
0.944879723,0.215094111,7.800433872,10.13625204,-2.810267799
0.642008434,0.209056779,8.259876596,10.12125541,-3.089418643
0.817957535,0.207901785,8.126504337,10.13260119,-2.899841982
0.732103313,0.218609351,8.050326639,10.13451755,-2.992249078
0.619371541,0.215180993,8.412647526,10.13575141,-3.410940553
1.478197931,0.211714172,7.670883699,10.14666501,-2.552749605
0.946897765,0.20660623,8.193765204,10.13460502,-2.969343786
1.239731281,0.216858874,7.855344477,10.13829077,-3.129055725
1.115364385,0.223148971,7.866579111,10.13634317,-3.23338292
0.828131259,0.21312715,8.59305906,10.13780064,-3.401979724
0.823439396,0.212420885,7.864988265,10.1313924,-3.123580618
1.282431409,0.207273223,7.670089265,10.12993044,-2.739479369
0.678654687,0.205853732,8.058275458,10.12851945,-3.281589882
0.900753985,0.215594929,7.936086561,10.13255874,-2.949146147
0.882343785,0.215821143,7.863022093,10.12440839,-2.994183593
1.089648169,0.217399252,7.660208122,10.12922331,-2.322347024
1.111818172,0.215775649,7.68581217,10.13565846,-2.3598899
0.859855105,0.21909145,7.816768572,10.13180236,-2.560692976
0.778514267,0.215780558,7.934323801,10.1319503,-2.998333557
1.068075876,0.225045422,7.929479701,10.13623264,-3.031669116
1.031767907,0.212564695,7.548705434,10.13959471,-2.705522371
1.139454153,0.21195801,7.455607565,10.12539911,-2.596845254
0.956085725,0.216367372,7.969042949,10.13621127,-2.74224832
2.005366267,0.195723425,9.158715943,10.14160442,-2.273016273
0.796483154,0.206058638,8.359757473,10.12701596,-3.025785947
0.935204005,0.202762426,8.070881355,10.11857548,-3.034833018
1.034728772,0.203878602,8.122454198,10.12575142,-2.96625129
0.650474605,0.209388401,8.2902081,10.12369128,-3.527415068
0.87319026,0.214572416,7.978107229,10.13507741,-2.824679353
0.814089089,0.207200122,8.012404488,10.12829865,-2.837352511
0.689929543,0.219619581,8.055471095,10.14191407,-2.74447458
0.910237993,0.214411992,7.956361923,10.13749657,-2.914774162
0.73241145,0.213758698,8.162383288,10.13032859,-2.993476899
0.77200037,0.209236123,7.906445264,10.13182583,-2.970035868
0.894076889,0.209839255,7.870570202,10.13331961,-2.518440175
1.158544722,0.216445878,7.895576714,10.13060362,-2.853095535
0.745249955,0.202961244,8.369793691,10.12297258,-2.939717643
0.981248145,0.212121083,7.738998961,10.12983365,-3.267247996
1.29706083,0.213267586,8.440696456,10.13928029,-2.879980793
0.819652875,0.210424248,8.086379501,10.12841191,-2.861763161
1.00562597,0.208729026,8.013928922,10.13547126,-2.872846178
1.245095128,0.210954727,8.103791645,10.13661446,-2.611372294
1.53274131,0.221966027,7.941702001,10.14771573,-2.639011705
0.972381448,0.214222868,8.00221866,10.13797646,-2.952684531
0.699736125,0.210822211,8.283689633,10.12291353,-3.143102594
1.006567006,0.211083401,7.7931578,10.12635864,-2.57071927
0.844082836,0.209026665,7.915402297,10.12380676,-3.047870134
0.719697735,0.212510921,8.180100401,10.13170563,-2.941334013
0.876033181,0.217224826,8.051342207,10.13959197,-2.938400892
0.844512477,0.214224315,8.001464075,10.13230964,-3.039517475
0.626522411,0.20345749,8.363072895,10.13010562,-3.056543744
1.121522972,0.21167682,7.806146035,10.12146676,-3.149741759
0.863590738,0.207421254,7.866877407,10.12473227,-2.638831535
0.586627784,0.21476039,8.24066211,10.13128887,-2.936166559
0.883051743,0.213034934,8.069445474,10.13474208,-3.161554736
1.039468912,0.214297238,8.016986277,10.12794672,-3.086111043
0.8684924,0.206591732,8.245715861,10.13345464,-2.697818167
0.766327634,0.219365735,7.914669181,10.13591396,-2.729758298
0.919466811,0.202003739,8.078830941,10.1228424,-2.939124224
0.649041518,0.214175586,7.931723748,10.12259884,-3.231935555
0.795701755,0.221044195,8.066228453,10.13097528,-3.114330741
1.078817114,0.216459187,7.995348003,10.12543234,-2.509565963
0.734055024,0.215992745,7.887607411,10.13072637,-3.062498877
0.832375979,0.223243959,8.12005055,10.12741291,-3.084779851
1.000330029,0.209130778,8.168562303,10.13279151,-2.955941118
0.675682949,0.209523406,8.292309872,10.1351566,-3.232405911
0.963722833,0.208391577,8.13818573,10.12904232,-2.717548061
0.863646654,0.213053301,7.952191237,10.13099099,-2.669889855
0.781361788,0.225579288,8.00857148,10.13978138,-2.775176855
0.658181607,0.214634137,8.201732524,10.13089246,-2.987686351
0.9350667,0.213104928,7.623464311,10.13233333,-2.454393673
0.858436676,0.201714159,8.264528966,10.11293122,-3.049010524
0.814817548,0.210587765,8.025163795,10.1205532,-2.678202818
0.785963224,0.206169307,8.023207667,10.12520541,-3.196075905
1.042632568,0.209343799,7.840411607,10.12959803,-2.860234782
0.726396182,0.220646182,7.921520394,10.14128522,-2.939479003
0.802951149,0.214245519,7.79069977,10.13464578,-2.894730138
0.891974294,0.205513836,7.964090095,10.13023192,-2.763428306
0.759357049,0.211419983,8.15236516,10.13118075,-2.661833699
0.852188453,0.193900411,7.88754712,10.11663022,-2.624867594
1.059204335,0.212205293,8.026397725,10.1344612,-2.948305625
0.946027477,0.211700673,7.92028142,10.13118988,-3.031047032
1.033440412,0.21143333,7.954052413,10.13104574,-2.785896297
0.780970718,0.2122791,7.86223015,10.12739269,-2.904438865
0.76262195,0.209509212,8.044084999,10.13144659,-3.078954098
0.790247787,0.214198984,8.014200228,10.12408242,-2.930030392
0.83635949,0.216836429,7.746510257,10.13277918,-2.87291558
1.124138854,0.209956147,8.514528091,10.12946029,-3.003932999
1.084676532,0.203494791,8.002342211,10.12494596,-2.665262764
0.809138465,0.213083028,8.141971795,10.13766424,-2.801317536
1.256422608,0.204553317,8.541511206,10.1335656,-2.713059601
0.797307497,0.209748471,8.336244504,10.13437491,-3.405989581
1.102422183,0.210876252,8.190731649,10.12582986,-2.727818058
0.771268899,0.217134177,7.98606936,10.13299592,-2.823026017
1.073540038,0.204687059,8.257761995,10.13539478,-2.865657778
0.668899541,0.217564045,7.949547128,10.12902808,-3.0366733
0.889109245,0.212395256,8.031978818,10.12667259,-2.962243912
1.070575146,0.21924224,8.023225117,10.13746245,-2.623218351
0.724328378,0.221620607,8.101217074,10.1320845,-3.255779825
1.365657734,0.216316138,7.779914275,10.13721831,-2.828808585
0.840364505,0.212375833,8.023318821,10.13172524,-3.203382819
0.599689616,0.210724415,8.162696086,10.12895687,-2.788136733
1.444784669,0.204355251,8.272020179,10.12227726,-2.769337056
1.060819243,0.206309855,8.164681067,10.11907275,-3.256080081
1.550177934,0.212189464,7.783758157,10.14723144,-2.479267444
0.994571007,0.225426813,8.156006561,10.13389568,-3.26703705
0.611040479,0.2155979,8.236122601,10.13681698,-3.286130918
0.698492316,0.211411392,8.178668431,10.12854126,-3.058535738
0.852366311,0.205577541,8.166512178,10.12307343,-2.800446342
0.71364582,0.207219097,8.335784204,10.13057343,-3.073425865
1.115212828,0.218032836,7.836012319,10.13770071,-2.675226606
0.86040026,0.21567909,7.973270543,10.132542,-2.6033119
0.664689753,0.208897024,8.306925481,10.12321942,-2.931446138
0.725921482,0.221321076,7.818449783,10.1328976,-2.791411228
0.996227033,0.207169275,8.194744428,10.13352645,-2.684304209
0.813271493,0.215729469,7.963082845,10.13817677,-3.302672023
0.802460971,0.214510353,8.188112599,10.13289317,-2.853981072
0.675300224,0.208947707,8.296127861,10.12948863,-3.069050007
0.89733938,0.2169507,8.028941689,10.14168481,-3.001837735
0.900919183,0.215916033,8.017991385,10.1436649,-3.069860832
0.741853196,0.21875915,7.899639909,10.13939705,-3.439690034
1.210359356,0.211628258,7.693050724,10.12555267,-2.606746012
1.003957709,0.222121041,7.634872483,10.13041663,-2.616328362
0.773963587,0.22168793,8.084127009,10.14076017,-2.761872273
0.813336676,0.206565352,8.003075798,10.13067185,-2.758594886
0.715263999,0.211977565,8.245283505,10.13221472,-2.917489849
0.893332697,0.211463915,7.943736966,10.13009077,-2.870136356
